call_id,actor_id,partner_id,speech_activity_actor,speech_activity_partner,tfo_actor,tfo_partner,overlap_actor,overlap_partner,pauses_actor,pauses_partner,my_turn_length_actor,my_turn_length_partner,your_turn_length_actor,your_turn_length_partner,conv_length_actor,conv_length_partner,turn_overlap_gap_actor,turn_overlap_gap_partner,topic_diversity_actor,topic_diversity_partner,speak_quickly_actor,speak_quickly_partner,you_total_talk_time_actor,you_total_talk_time_partner,how_enjoyable_actor,how_enjoyable_partner,conversationalist_actor,conversationalist_partner,conv_leader_actor,conv_leader_partner,i_like_you_actor,i_like_you_partner,you_like_me_actor,you_like_me_partner,in_common_actor,in_common_partner,smiles_actor,smiles_partner,laughter_actor,laughter_partner,questions_actor,questions_partner,nods_actor,nods_partner,verbal_feedback_actor,verbal_feedback_partner,you_are_intelligent_actor,you_are_quickwitted_actor,you_are_competent_actor,you_are_kind_actor,you_are_friendly_actor,you_are_warm_actor,you_are_humble_actor,you_are_giving_actor,you_are_fair_actor,you_are_trustworthy_actor,you_are_agreeable_actor,you_are_playful_actor,you_are_polite_actor,you_are_intelligent_partner,you_are_quickwitted_partner,you_are_competent_partner,you_are_kind_partner,you_are_friendly_partner,you_are_warm_partner,you_are_humble_partner,you_are_giving_partner,you_are_fair_partner,you_are_trustworthy_partner,you_are_agreeable_partner,you_are_playful_partner,you_are_polite_partner,i_disclosed_actor,i_disclosed_partner,you_disclosed_actor,you_disclosed_partner,i_am_good_listener_actor,i_am_good_listener_partner,you_are_good_listener_actor,you_are_good_listener_partner
8952d5c3-5ec9-4a99-a21d-52be2dfec176,5f2ef358d45f6110ad8ba935,5f6be2474140c215c8ebbe52,0.582,0.306,-0.003,0.005,0.116,0.094,0.195,0.106,7.0,5.0,2.0,5.0,37.0,30.0,5.0,5.0,5.0,5.0,3.0,4.0,25.0,50.0,9.0,7.0,100.0,67.0,3.0,5.0,7.0,6.0,4.0,5.0,7.0,6.0,9.0,4.0,9.0,5.0,9.0,4.0,9.0,5.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,6.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,6.0,7.0,9.0,4.0,9.0,7.0,9.0,5.0,9.0,6.0
01b9ad1a-cf5c-466b-b227-dfe3a36d1359,5e714543bb9f870679f01411,5ea523b2a7782138712c7e1b,0.693,0.256,-0.065,0.106,0.082,0.14,0.124,0.045,5.0,5.0,5.0,6.0,30.0,28.0,5.0,4.0,5.0,5.0,4.0,3.0,45.0,60.0,8.0,7.0,70.0,60.0,5.0,2.0,7.0,6.0,5.0,6.0,3.0,4.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,6.0,4.0,7.0,6.0,7.0,5.0,7.0,9.0,9.0,9.0,6.0
01b9ad1a-cf5c-466b-b227-dfe3a36d1359,5ea523b2a7782138712c7e1b,5e714543bb9f870679f01411,0.256,0.693,0.106,-0.065,0.14,0.082,0.045,0.124,5.0,5.0,6.0,5.0,28.0,30.0,4.0,5.0,5.0,5.0,3.0,4.0,60.0,45.0,7.0,8.0,60.0,70.0,2.0,5.0,6.0,7.0,6.0,5.0,4.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,6.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,6.0,4.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0,5.0,9.0,9.0,6.0,9.0
36f338b1-bb0e-4c79-b40d-1c584913f262,5f0963c6310eaf000b922e94,5ed674a74aaed5093c46b6e8,0.261,0.516,0.257,0.198,0.101,0.047,0.191,0.201,3.0,7.0,7.0,4.0,25.0,25.0,3.0,4.0,5.0,6.0,9.0,2.0,25.0,43.0,5.0,9.0,67.0,100.0,9.0,3.0,5.0,7.0,3.0,7.0,4.0,8.0,3.0,4.0,5.0,4.0,9.0,3.0,3.0,3.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,9.0,6.0,9.0,8.0,9.0,4.0,9.0
36f338b1-bb0e-4c79-b40d-1c584913f262,5ed674a74aaed5093c46b6e8,5f0963c6310eaf000b922e94,0.516,0.261,0.198,0.257,0.047,0.101,0.201,0.191,7.0,3.0,4.0,7.0,25.0,25.0,4.0,3.0,6.0,5.0,2.0,9.0,43.0,25.0,9.0,5.0,100.0,67.0,3.0,9.0,7.0,5.0,7.0,3.0,8.0,4.0,4.0,3.0,4.0,5.0,3.0,9.0,3.0,3.0,3.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,7.0,9.0,4.0,9.0,6.0,9.0,8.0,9.0,4.0
3a0b5df2-a40d-4eea-91ce-f95031502c58,5e84765c7206730182a6f738,5c3a34eebe1ddc0001aa35d6,0.253,0.698,0.062,0.001,0.246,0.054,0.075,0.103,3.0,8.0,7.0,5.0,40.0,40.0,4.0,6.0,5.0,5.0,9.0,1.0,80.0,25.0,9.0,9.0,100.0,70.0,9.0,3.0,7.0,7.0,6.0,7.0,1.0,7.0,5.0,5.0,3.0,8.0,5.0,2.0,1.0,8.0,1.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,6.0,5.0,6.0,9.0,7.0,5.0,9.0
3a0b5df2-a40d-4eea-91ce-f95031502c58,5c3a34eebe1ddc0001aa35d6,5e84765c7206730182a6f738,0.698,0.253,0.001,0.062,0.054,0.246,0.103,0.075,8.0,3.0,5.0,7.0,40.0,40.0,6.0,4.0,5.0,5.0,1.0,9.0,25.0,80.0,9.0,9.0,70.0,100.0,3.0,9.0,7.0,7.0,7.0,6.0,7.0,1.0,5.0,5.0,8.0,3.0,2.0,5.0,8.0,1.0,6.0,1.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,6.0,2.0,6.0,5.0,7.0,9.0,9.0,5.0
4a22389d-8ef6-4fab-95ad-ea5ae3395d88,5ea876f4ea2ee42be043746d,5eb10e1b6e2f921d6d6567dd,0.31,0.265,0.386,0.384,0.02,0.042,0.416,0.35,7.0,3.0,2.0,7.0,30.0,29.0,4.0,5.0,5.0,3.0,1.0,6.0,30.0,75.0,8.0,7.0,77.0,75.0,1.0,3.0,7.0,5.0,4.0,4.0,3.0,3.0,3.0,7.0,2.0,4.0,7.0,1.0,1.0,5.0,3.0,4.0,8.0,6.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,2.0,3.0,2.0,6.0,8.0,8.0,8.0,8.0
4a22389d-8ef6-4fab-95ad-ea5ae3395d88,5eb10e1b6e2f921d6d6567dd,5ea876f4ea2ee42be043746d,0.265,0.31,0.384,0.386,0.042,0.02,0.35,0.416,3.0,7.0,7.0,2.0,29.0,30.0,5.0,4.0,3.0,5.0,6.0,1.0,75.0,30.0,7.0,8.0,75.0,77.0,3.0,1.0,5.0,7.0,4.0,4.0,3.0,3.0,7.0,3.0,4.0,2.0,1.0,7.0,5.0,1.0,4.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,9.0,3.0,2.0,6.0,2.0,8.0,8.0,8.0,8.0
c578b93e-5320-4ea4-bfdf-90eb631bff74,5ee53940e704230cfe9c301f,5f16520a9e2ee97d266d4241,0.373,0.283,0.259,0.671,0.044,0.069,0.328,0.197,9.0,4.0,3.0,7.0,25.0,25.0,7.0,4.0,6.0,5.0,9.0,7.0,10.0,65.0,8.0,7.0,67.0,75.0,9.0,3.0,4.0,5.0,5.0,4.0,7.0,6.0,9.0,5.0,9.0,4.0,9.0,2.0,9.0,2.0,9.0,4.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,6.0,6.0,4.0,5.0,6.0,7.0,9.0,6.0
